skill_name;grade_method;develop_method
Управление требованиями;Оценка качества подготовки документации в соответствии с регламентами, прохождение профильных тестов;Изучение курсов по выделенным зонам роста, участие в профильных мероприятиях
Моделирование и проектирование данных;Оценка качества выполненной работы в соответствии с документацией и регламентами компании;Изучение курсов по моделированию и проектированию данных, работа над проектами, изучение материалов по UML и BPMN
Проектирование API;Оценка качества спроектированных API, соответствие документации стандартам и регламентам;Изучение курсов по проектированию и документированию API, участие в разработке API, изучение теоретических материалов
Разработка инструкций пользователя, разработчика;Анализ полноты и понятности инструкции в соответствии с регламентами, отзывы пользователей и разработчиков;Участие в проектах по созданию документации, курсы по техническому писательству, изучение лучших практик в создании документации
Работа с IDE;Оценка эффективности и скорости разработки;Изучение возможностей IDE, участие в вебинарах по эффективному использованию инструментов
Работа с системами контроля версий (Git);Оценка качества работы с Git-репозиториями, правильность использования ветвления и слияния, отсутствие конфликтов;Выполнение практических работ, изучение лучших практик
Разработка на Java;Оценка качества и производительности кода, покрытие тестами, соответствие кода стандартам и требованиям;Изучение курсов по Java, практика в написании кода и тестов, участие в код-ревью и рефакторинге
Развертывание backend-приложения;Оценка успешности развертывания приложений, анализ проблем, возникающих при развертывании и их решения;Изучение курсов по сборке и развертыванию Java-приложений, практика на реальных проектах, изучение инструментов
Проектирование и реализация API;Оценка качества реализованных API, соответствие спецификациям, успешность тестирования и интеграции;Изучение теоретических материалов по проектированию и документированию API, практика в разработке API, участие в проектировании API с учетом лучших практик
Создание Docker-образов;Оценка качества и корректности Docker-образов, успешность работы контейнеров в различных средах;Изучение курсов по Docker и контейнеризации, практика в создании и настройке Docker-образов, изучение лучших практик работы с Docker
Работа с TE и IDE;Оценка эффективности и скорости разработки, анализ использования возможностей IDE;Изучение курсов по использованию IDE, практика в различных IDE, изучение плагинов и инструментов для повышения продуктивности
Разработка на JavaScript и React;Оценка качества и производительности кода, покрытие тестами, соответствие кода стандартам и требованиям;Изучение курсов по JS и React, практика в написании тестов и код-ревью
Развертывание веб-приложения;Оценка успешности развертывания веб-приложения, анализ качества настроек CI/CD и инструментов сборки;Изучение курсов по CI/CD и DevOps, выполнение практических работ по развертыванию приложений, изучение лучших практик
Работа с документацией;Оценка полноты и качества документов, соответствие стандартам и требованиям компании;Изучение курсов по техническому писательству, изучение стандартов и шаблонов документации, практика в написании и ревью документов
Тестирование API;Оценка полноты и качества тест-кейсов, успешность тестирования и выявления дефектов;Изучение курсов по тестированию API, практика работы с Swagger, Postman, SoapUI, участие в тестировании API в проектах
Анализ и отчетность;Оценка качества анализа, полноты отчетов, правильности баг-репортов;Изучение материалов по тест-анализу и отчетности, практика написания отчетов, изучение лучших практик баг-репортов
Разработка ПМИ;Оценка корректности и полноты ПМИ, успешность выполнения тестирования по методике;Изучение регламентов по разработке документации и шаблонов документов, участие в тестировании по созданной методике, анализ успешных методик испытаний
Разработка инструкций пользователя;Оценка полноты, понятности и полезности инструкции по отзывам пользователей и коллег;Анализ примеров, практика в написании инструкций
Администрирование виртуальных серверов;Оценка успешности развертывания и настройки сервисов, стабильности работы систем;Изучение курсов по администрированию Linux, практика настройки сервисов на виртуальных машинах, изучение документации по Nginx, WildFly, Postgres
Контейнеризация и оркестрация;Оценка успешности создания и развертывания контейнеров, качество настройки оркестрации и управления;Изучение курсов по Docker и Kubernetes, практика в развертывании и управлении контейнерами, участие в проектах с оркестрацией контейнеров
Настройка мониторинга и логирования;Оценка качества настройки мониторинга и логирования, анализ результатов мониторинга и логов;Изучение курсов по мониторингу и логированию, выполнение практических заданий по настройки систем мониторинга и логирования, изучение лучших